ZFZXRABQPURC05780,LQEZKRSMBWTI,NZGGZRRUHQAC,RWDBUQNWHBZF,Tesla,Tesla,6,EV,fast,SUV,2284,6/50
VWMOUNCZTFSZ12328,DYOWTBMIQKMI,NMDVIUQWPLFJ,PGELFOJVYBAY,Xiaopeng,Xiaopeng,3,EV,slow,SUV,2570,3/20
QMONCLMOPDBL16016,ELULEOYERDVG,PPBSBACTDXWE,HOVJRQVLVMRJ,Tesla,Tesla,5,PHEV,slow,hypercar,2258,3/20
KKOGKPRZJEIE45614,XTUQDUXLNASD,SKQHKVCHKKIA,QAQQQQYOQSKF,Tesla,Tesla,4,PHEV,slow,SUV,1673,6/50
FJBEGESTQPCS72172,ANISPDLONXBP,BUSNQTDJLKHA,MWYVIJCLCFEG,BYD,BYD,2,PHEV,slow,hypercar,1608,6/50
WAPRPPWATWST07767,HQVSPDNHAFCZ,ILREVJWJJBZD,FOHXXZSZBOVB,BYD,BYD,4,FUEL,slow,SUV,2024,6/50
GELBHFTMHVFI07143,UEWWGBRAWAZS,AKIENPPIJYHF,HOWIDCDMZBIP,Tesla,Tesla,4,PHEV,fast,SUV,2830,3/20
SDRFWOAMGDUC57178,LLPYBXUJHUWY,XVQZINHWIEPR,BUUIOTDHSTJF,BYD,BYD,6,EV,slow,SUV,2596,6/50
DLMJZQCDFODJ44741,VFWKCNICUUZO,FZPZOQCMABXA,SFXROTNGEOWF,Xiaopeng,Xiaopeng,4,PHEV,slow,hypercar,2089,3/20
INSVYSJRAEIA58250,HFECCZSOYRNL,RRQJGBTFWAAL,SMPOFKMBKVLO,Lixiang,Lixiang,5,PHEV,slow,SUV,1725,3/20
ZYOAQSUSXXBZ03201,XGETCTEUJXPU,YYCFYSSLYGBE,BUWTXJTSOKCP,Weilai,Weilai,6,FUEL,fast,hypercar,2167,3/20
DFQIVTOFJAIG90661,XSCGPMVNMNBW,DMQEVZFNLWLX,VYLDGKPOVMQH,Tesla,Tesla,6,EV,slow,hypercar,2843,6/50
HQONOUCTPHYC42657,XMTTPDLLSWSH,BBFEIIJTIRHT,KGOKMHBRBGEW,Lixiang,Lixiang,6,PHEV,slow,hypercar,2713,6/50
XUQLMBWYPPEQ78952,MEHLFEVCLNHH,GDZYKZDFAIRD,IAIPALAPILAA,BYD,BYD,6,EV,fast,saloon,1881,3/20
OHRIFIRQWQMW11823,SJMFIFGWZDGX,YRJPAROYSUSB,QSNXRTHVYRKP,Lixiang,Lixiang,3,FUEL,slow,SUV,2258,3/20
JFNCJOXZPZWU05019,QQOSOULLNWQL,DKCTJFWFWVJG,UTCUEPIKGIEN,BYD,BYD,3,PHEV,slow,hypercar,1530,3/20
GNEKYMBJMAYD16851,UMGWPYRBZLPF,WOEDGEVZJWIS,IVFYTPQOIFUP,BYD,BYD,2,PHEV,slow,SUV,2505,6/50
DQVJDDPYCQUU12748,WSTZOSILYTQY,ANHUMHUOYZHU,SODWGLENWUKJ,Tesla,Tesla,4,FUEL,slow,SUV,2375,6/50
TUVNSDMZZLAY44675,NCIRFQQTHEYW,WJUDXEKYBWSH,EKVPKSXFWYFV,Lixiang,Lixiang,6,PHEV,fast,saloon,1491,6/50
PDBLLRCCCWWA22596,NZHIOYAVMDNT,MEFMHRZQNJSD,UXYCWAKOVTYM,BYD,BYD,3,PHEV,fast,SUV,1491,3/20
JQISYMQTYLGR49328,INYUBMHNYLVO,SMVLURCLUZYU,BFFUOWJMKLXL,Xiaopeng,Xiaopeng,2,PHEV,slow,saloon,2063,3/20
GOVKTNDNMKEI14200,SSVTSAHMJUVO,OPSMPYENCDHX,JNTKUTJRPIUB,BYD,BYD,6,FUEL,slow,saloon,2024,3/20
IHGZOTLIGZOF46170,TTIDDJIIQVPH,QWOJXBVCHMHL,BCMQCCWENBQH,Tesla,Tesla,6,PHEV,slow,saloon,1816,3/20
UFVHDOKZSQRO86502,MQHZMFCYKSYK,LACVAFFIGIET,TREMSTSGSLMO,BYD,BYD,5,FUEL,fast,saloon,2453,3/20
GJFTLQMGVFIK39183,WYMPTVFQDEKC,ILNKPZJTSULM,LPKJIUWPYNNF,Tesla,Tesla,4,EV,fast,saloon,2583,6/50
RETXDBXAJJYA34498,FMMSTTAQEZWJ,KVFBVKEFAVCF,WCRWVDRQMHJX,Lixiang,Lixiang,6,EV,slow,hypercar,2050,3/20
QHNRLTDQPAMM76133,VRLEMBQHZMZQ,AOAAPGNRBGEU,FSJRVXESGAED,Lixiang,Lixiang,3,PHEV,slow,saloon,1569,3/20
WGXQFSNDKEGE30236,FXZEATVURBEM,BFBTMHACMUSF,ELBXNYTGSAWU,Xiaopeng,Xiaopeng,3,PHEV,fast,saloon,1582,3/20
HPAVIMMPODPN17680,NHPIKGGJBSPB,LIFRYXQZAIUS,KYPBQBDLQFNG,Xiaopeng,Xiaopeng,5,PHEV,slow,SUV,2089,6/50
GENSEPLGQTKO09276,ZCYKQALDXUAV,QXGWAWJQQORP,SAEGVPRFWEQZ,BYD,BYD,6,EV,slow,hypercar,2713,6/50
RWLFTXJHIEWV25973,LGYYQVFVPTQN,NWLFSDKZACZV,OZGAERULLYJE,Tesla,Tesla,5,FUEL,fast,SUV,2349,3/20
NZIFPREIGKJG13226,QRAKKVVLAMFR,CXZFOVDYORGR,OYBYCSWNGYAH,Weilai,Weilai,3,PHEV,slow,SUV,2609,6/50
IGGUFEUXNBQF28180,NBOQKXAOIIXQ,XQVTGDFRMPCQ,KLYNVYDOMDHJ,Tesla,Tesla,2,EV,fast,saloon,2895,6/50
AURTMYVLTTGI53925,WDGKUOAQSFHV,IWKMTVDYOIQD,NAMAINVAGCMT,BYD,BYD,5,FUEL,slow,hypercar,2960,6/50
DJIJOQGGFHTT87182,SXHFWMDEXETT,GYOYMRHUEVAX,DYQHUVHYGYAF,BYD,BYD,3,PHEV,fast,hypercar,2726,3/20
JVYSFGWEVUWB41894,HYEBXCWASWFP,EULMHHGMLQJL,CIXYYFHGKYIP,Xiaopeng,Xiaopeng,6,EV,fast,saloon,1777,6/50
WETEARHWRRWX21397,VFPKSPFQPOGI,SAYMIFWBGMQE,UQWSTCLYHDXM,BYD,BYD,3,EV,slow,saloon,1868,3/20
QRKLDNXGSJKI35651,QNVLYEHGWYKF,GQDPWCLOTHQP,UVWUOQXYZFCR,BYD,BYD,4,FUEL,fast,hypercar,1660,3/20
HKVCSAQTIAFV11271,HGLGYOSGXISR,RSUALMHZJZHV,TCMENXAYQWQS,Lixiang,Lixiang,3,PHEV,slow,SUV,2167,6/50
QQCBOAINPFMC85095,PNRAQWDTURMZ,HLHKZNQFYRPV,XYGCCTQCATLM,BYD,BYD,4,FUEL,slow,hypercar,2739,6/50
DHFHVHDBSSWG65155,HRPXVGLBDEXA,MJBBLYTWQIQU,TYSXIOEWDUUL,BYD,BYD,3,PHEV,fast,SUV,2089,6/50
CZBVZLXYYWWD66734,GAVXHDMVHOJB,VCZKINKSVBFK,DYSBTXBEAFWN,Tesla,Tesla,6,PHEV,slow,hypercar,1998,3/20
TBFVYHHBWVHR67686,DWVTNEXNMKKV,XAUNLPHODVAD,NHQUUNXAOJQR,Lixiang,Lixiang,5,FUEL,slow,saloon,1543,3/20
OBZBHKQPKJFM50838,OEFOBMHTVGFP,OTNJVYREVAHV,ZYUDHBKMIMGC,Xiaopeng,Xiaopeng,5,FUEL,fast,hypercar,1764,3/20
EJHBPTYMYTBD23906,PZLUDVHJZPXZ,EGUFDPQWTPLV,QMLFANXYJJLJ,Tesla,Tesla,6,PHEV,slow,SUV,1699,6/50
LNTALDYOURME15985,YCGCUUKCHVKA,USNYKELLBFCB,HZFOFEUIVQQR,Tesla,Tesla,6,EV,slow,saloon,1413,6/50
VPDOUCJSGBNQ32631,GGGQHOQNHMIK,CISPOQLVMCUP,QSDIYQSUGISG,Tesla,Tesla,6,EV,fast,SUV,2648,3/20
SANLYEDRZXYX56427,DICMODGMZQJN,GXIGRNDEMCVB,YFMNLEAKUTFV,Tesla,Tesla,6,EV,slow,saloon,1465,3/20
ECQHBKHHIOZL97231,VTQOKOCNUYLG,NBLEDLOGNKKH,QOEIPOAZTSFK,BYD,BYD,3,EV,fast,hypercar,2089,6/50
IDSQONBGZHKK11967,BBOOICQAZWLQ,DZKEBVDJMFFN,WOSYJVRVZIBU,Lixiang,Lixiang,6,EV,fast,SUV,1647,3/20
HXAURTVRPPUM50725,BPLTDYPKWOWF,ZNQDXNVGXBRT,JCOPVCYCLBSW,Lixiang,Lixiang,5,EV,fast,saloon,2336,6/50
MGYKMGESPLMB55087,ZZTPOIWEEADH,AETIVZJLAAGR,RHSEBOGXIGXY,Tesla,Tesla,4,PHEV,slow,SUV,1647,3/20
NEYERRZWOHWX68571,ALSVFYKTVDXL,QIYHEBBFMHSD,NDZOAIFZQHJB,BYD,BYD,3,FUEL,fast,SUV,2570,6/50
GGREIDOTUWIL37390,SMKZWHLUCDKQ,JAUVSAPMMITA,BWEONUCNWNAF,BYD,BYD,4,EV,slow,SUV,1556,3/20
FZOBIWRWMZTF49237,FYOKNKPIQQHL,NSCACPYRYFHW,VVFWRQBCFBEE,Weilai,Weilai,6,EV,fast,SUV,2336,6/50
VEVIPWOEMKOL84680,HVGLCEQSROVA,UCYWSBJLYJWI,MIHQVCABJAVA,BYD,BYD,6,EV,slow,hypercar,2414,6/50
FBXNCGZONLLO69074,UGFYHEPLFMPF,QULMASRKELDF,LVGMRMMXIVYV,Tesla,Tesla,6,EV,slow,saloon,2700,3/20
FTCBQQZIFHQH70259,FJUTSQLPTRZW,WEVSMRYZPOKD,KYNPEVXKQPHC,Lixiang,Lixiang,2,FUEL,fast,SUV,1920,3/20
XRKNOGTRRMIA10008,QHVJURPQXYEI,HNTYPCXUMAIB,EFVGQDNVDOHE,BYD,BYD,2,FUEL,slow,saloon,1556,3/20
ULOQEHWVTNYL77863,OKCXTBAACZDR,FXFMULDQZMFJ,JZGLISFDICUR,Tesla,Tesla,2,FUEL,fast,hypercar,1855,6/50
TEYOWOFNLFSA46500,SCQFCRJNHMDB,RRPVUATHEIDB,ZRYBZTIZTADH,Tesla,Tesla,5,EV,fast,SUV,2726,6/50
XVGHEDYPZDDL64882,EHESKDYUMURJ,LEXBCOTMDHRX,IRTWUXIGILWN,BYD,BYD,2,PHEV,fast,hypercar,2154,6/50
